fichier,taille_mo,duree_s,titre_metadata,statut,raison,priorite
4.mp4,257.43,1409.08,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
5-Episode. mp4.mp4,101.25,1816.96,,DOUBLON_INTERNE,meme duree (+/-5s) que '19.mp4',
Lecon 10 - part 1.mov,503.21,420.31,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 10 - part 2.mov,360.71,481.23,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 10 - part 3.mov,423.41,528.96,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 12 - part 1.mov,566.92,480.31,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 10 - part 2.mov',
Lecon 12 - part 2.mov,523.19,481.02,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 10 - part 2.mov',
Lecon 12 - part 3.mov,522.62,480.35,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 10 - part 2.mov',
Lecon 12 - part 4.mov,339.19,340.11,,HORS_PERIMETRE,transcript vide,
Lecon 13.mov,288.45,327.8,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 14 - (incomplete).mov,367.01,289.3,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 15 - part 1.mov,237.87,188.52,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 15 - part 2.mov,73.37,64.43,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 16 - part 1.mov,543.52,421.45,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 10 - part 1.mov',
Lecon 16 - part 2.mov,900.85,695.89,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 17.mov,453.44,354.05,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 19.mov,405.79,313.83,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 2.mov,794.39,276.83,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 20.mov,679.0,520.64,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 21.mov,521.97,398.87,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 22.mov,498.09,388.38,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 23 - Part 1.mov,541.74,420.38,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 10 - part 1.mov',
Lecon 23 - Part 2.mov,643.08,500.35,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 24.mov,939.19,710.2,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 25 - Part 1.mov,541.94,420.63,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 10 - part 1.mov',
Lecon 25 - Part 2.mov,632.1,487.67,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 26 - Part 1.mov,385.91,300.2,,HORS_PERIMETRE,aucun mot francais identifiable,
Lecon 26 - Part 2.mov,410.19,315.59,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 19.mov',
Lecon 27 - Part 1.mov,464.02,360.42,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 27 - Part 2.mov,507.77,390.64,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 22.mov',
Lecon 28 - Part 1.mov,387.76,300.6,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 26 - Part 1.mov',
Lecon 28 - Part 2.mov,409.65,318.09,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 19.mov',
Lecon 29 - Part 1.mov,387.88,300.71,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 26 - Part 1.mov',
Lecon 29 - Part 2.mov,405.48,313.18,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 19.mov',
Lecon 30.mov,472.5,370.65,,HORS_PERIMETRE,transcript vide,
Lecon 31.mov,188.03,179.95,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 32.mov,220.73,176.32,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 31.mov',
Lecon 33 - Part 1.mov,362.99,420.56,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 10 - part 1.mov',
Lecon 33 - Part 2.mov,362.59,420.79,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 10 - part 1.mov',
Lecon 33 - Part 3.mov,439.85,498.37,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 23 - Part 2.mov',
Lecon 34 - Part 1.mov,547.07,692.18,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 16 - part 2.mov',
Lecon 34 - Part 2.mov,398.55,540.57,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 35.mov,767.18,594.6,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 11 PART1.mov',
Lecon 36.mov,509.53,395.83,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 21.mov',
Lecon 37.mov,273.49,209.63,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 38.mov,317.56,366.27,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 30.mov',
Lecon 39 - Part 1.mov,394.5,480.54,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 10 - part 2.mov',
Lecon 39 - Part 2.mov,396.33,480.67,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 10 - part 2.mov',
Lecon 39 - Part 3.mov,376.41,427.26,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 40 - Part 1.mov,538.96,600.66,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 11 PART1.mov',
Lecon 40 - Part 2.mov,516.13,594.89,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 11 PART1.mov',
Lecon 8.mov,433.57,150.53,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Lecon 9.mov,1282.81,445.05,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Leçon 1  Du Métier de Trader.mp4,108.4,876.76,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Leçon 11  Les bougies japonaises.mp4,163.3,902.77,,DOUBLON_INTERNE,meme duree (+/-5s) que '1 Mon Parcours de Trader d_Or et mes Meilleurs Trades (1).mp4',
Leçon 13  Les marchés « Futures ».mp4,286.75,1198.73,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Leçon 10 L’Analyse du Contexte sur 15 minutes.mp4',
Leçon 16  Lire le Carnet d’Ordre.mp4,58.67,594.71,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 11 PART1.mov',
Leçon 17 _Le_déséquilibre_sur_les_volumes_Nouvelle_Vidéo_.mp4,130.12,1393.13,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Leçon 20  Le Drapeau de Rejet (Nouvelle Vidéo) PART 1 .mp4,372.92,1403.99,,DOUBLON_INTERNE,meme duree (+/-5s) que '7-Episode mp4.mp4',
Leçon 22  Balayage sur le Carnet  PART 2 .mp4,165.66,617.4,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Leçon 22  Balayage sur le Carnet PART 1.mp4,78.91,433.01,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Leçon 25  Plan B et Humilité du Trader PART 1.mp4,53.54,487.5,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 25 - Part 2.mov',
Leçon 27  Analyse des marchés PART 3.mp4,259.98,1489.7,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Leçon 27 Analyse des marchés PART 1.mp4,266.6,2159.27,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Leçon 28 PART 4  Evolution Probable des marchés 2023  2025.mp4,145.98,845.46,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Leçon 24 Stop Loss et Prise de Profits PART 2.mp4',
Leçon 28 PART 6  Evolution Probable des marchés 2023 2025.mp4,62.25,648.46,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
